Date,Open,High,Low,Close,Volume
06/08/2021,"292.00","344.66","281.00","300.00","17,342,900"
06/07/2021,"258.00","282.00","255.20","280.01","6,051,490"
06/04/2021,"256.02","265.00","245.77","248.36","3,637,515"
06/03/2021,"265.71","274.43","242.12","258.18","7,999,955"
06/02/2021,"248.88","294.00","244.30","282.24","16,019,220"
06/01/2021,"233.48","254.98","227.07","249.02","9,625,610"
05/28/2021,"262.97","268.80","221.43","222.00","11,751,370"
05/27/2021,"229.80","264.00","227.00","254.13","15,526,300"
05/26/2021,"229.00","248.48","225.55","242.56","21,119,869"
05/25/2021,"181.00","217.11","181.00","209.43","14,887,460"
05/24/2021,"175.85","188.46","173.35","180.01","4,664,348"
05/21/2021,"171.00","179.24","170.33","176.79","3,654,683"
05/20/2021,"170.79","174.91","166.90","170.49","2,478,168"
05/19/2021,"171.99","178.98","164.15","168.83","4,825,905"
05/18/2021,"174.54","189.20","168.27","180.67","7,738,717"
05/17/2021,"159.85","182.50","159.00","180.60","7,372,763"
05/14/2021,"160.00","166.47","156.22","159.92","4,293,530"
05/13/2021,"147.44","169.95","146.43","164.50","8,873,487"
05/12/2021,"145.70","150.50","142.23","144.79","2,731,510"
05/11/2021,"137.00","150.50","136.50","146.92","4,684,584"
05/10/2021,"161.31","161.59","143.00","143.22","4,806,685"
